epoch,category_accuracy,category_loss,learning_rate,loss,season_accuracy,season_loss,texture_accuracy,texture_loss,val_category_accuracy,val_category_loss,val_loss,val_season_accuracy,val_season_loss,val_texture_accuracy,val_texture_loss
0,0.5406312942504883,1.5625001192092896,0.0010000000474974513,4.0056257247924805,0.5839489698410034,1.1260521411895752,0.644392192363739,1.3151792287826538,0.7319748997688293,1.1039730310440063,3.2106850147247314,0.6442006230354309,0.9697316884994507,0.705329179763794,1.1367532014846802
1,0.7290127873420715,1.1487568616867065,0.0010000000474974513,3.2497010231018066,0.6490933299064636,0.9869706034660339,0.7105439901351929,1.1236281394958496,0.7758620977401733,0.9714950323104858,2.961979389190674,0.6739811897277832,0.9402848482131958,0.7335423231124878,1.0495413541793823
2,0.7679650783538818,1.062211513519287,0.0010000000474974513,3.077047824859619,0.6675621271133423,0.9405777454376221,0.7273337841033936,1.0764926671981812,0.8197492361068726,0.9334623217582703,2.981779098510742,0.6927899718284607,0.9235363006591797,0.739811897277832,1.1242783069610596
3,0.7907992005348206,1.0213474035263062,0.0010000000474974513,2.9826152324676514,0.6789791584014893,0.9309566617012024,0.7548690438270569,1.035245418548584,0.8510971665382385,0.8779715299606323,2.8057565689086914,0.684952974319458,0.9150816202163696,0.7445141077041626,1.0119589567184448
4,0.8045668005943298,0.9773267507553101,0.0010000000474974513,2.8876309394836426,0.690396249294281,0.899881899356842,0.7595701813697815,1.012621283531189,0.8432601690292358,0.889877438545227,2.8052337169647217,0.6802507638931274,0.9099689722061157,0.753918468952179,1.0046049356460571
5,0.8169912695884705,0.963126540184021,0.0010000000474974513,2.8433449268341064,0.6937541961669922,0.8827555775642395,0.7662860751152039,0.9856235980987549,0.8432601690292358,0.8828998804092407,2.8169362545013428,0.6771159768104553,0.9131729006767273,0.7648902535438538,1.020064115524292
6,0.8243787884712219,0.9350776672363281,0.0010000000474974513,2.793144941329956,0.7041638493537903,0.8812171220779419,0.771323025226593,0.972430944442749,0.8479623794555664,0.8721421360969543,2.786539316177368,0.6771159768104553,0.9272438287734985,0.7852664589881897,0.9865766763687134
7,0.836467444896698,0.909694492816925,0.0010000000474974513,2.745239734649658,0.7055070400238037,0.8672600388526917,0.7743452191352844,0.9598543643951416,0.846394956111908,0.8511282205581665,2.7476603984832764,0.6927899718284607,0.9030926823616028,0.7648902535438538,0.9927813410758972
8,0.8482202887535095,0.904806911945343,0.0010000000474974513,2.736553192138672,0.6940900087356567,0.8758237361907959,0.7810611128807068,0.9505412578582764,0.846394956111908,0.8468009233474731,2.737046480178833,0.6990595459938049,0.8969608545303345,0.7680251002311707,0.9925958514213562
9,0.8502350449562073,0.8946889638900757,0.0010000000474974513,2.6978673934936523,0.7021490931510925,0.8700130581855774,0.7894560098648071,0.9287412762641907,0.8652037382125854,0.8341028094291687,2.7308542728424072,0.6927899718284607,0.8993832468986511,0.7633228898048401,0.9967087507247925
